number,award_type,status
1,Animated Feature,Award not yet introduced
1,Original Screenplay,Nominated
1,Adapted Screenplay,Ineligible
1,Original Score,Nominated
1,Original Song,Nominated
1,Other,Won Special Achievement
2,Animated Feature,Award not yet introduced
2,Adapted Screenplay,Ineligible
2,Original Score,Nominated
3,Animated Feature,Award not yet introduced
3,Original Screenplay,Ineligible
3,Original Song,Nominated
4,Animated Feature,Nominated
4,Adapted Screenplay,Ineligible
4,Original Score,Nominated
4,Original Song,Won
4,Sound Editing,Nominated
5,Animated Feature,Won
5,Original Screenplay,Nominated
5,Adapted Screenplay,Ineligible
5,Original Score,Nominated
5,Sound Editing,Nominated
6,Animated Feature,Won
6,Original Screenplay,Nominated
6,Adapted Screenplay,Ineligible
6,Sound Editing,Won
6,Sound Mixing,Nominated
7,Animated Feature,Nominated
7,Adapted Screenplay,Ineligible
7,Original Song,Nominated
8,Animated Feature,Won
8,Original Screenplay,Nominated
8,Adapted Screenplay,Ineligible
8,Original Score,Nominated
8,Sound Editing,Nominated
8,Sound Mixing,Nominated
9,Animated Feature,Won
9,Original Screenplay,Nominated
9,Adapted Screenplay,Ineligible
9,Original Score,Nominated
9,Original Song,Nominated
9,Sound Editing,Nominated
9,Sound Mixing,Nominated
10,Best Picture,Nominated
10,Animated Feature,Won
10,Original Screenplay,Nominated
10,Adapted Screenplay,Ineligible
10,Original Score,Won
10,Sound Editing,Nominated
11,Best Picture,Nominated
11,Animated Feature,Won
11,Original Screenplay,Ineligible
11,Adapted Screenplay,Nominated
11,Original Song,Won
11,Sound Editing,Nominated
12,Original Screenplay,Ineligible
13,Animated Feature,Won
13,Adapted Screenplay,Ineligible
14,Original Screenplay,Ineligible
15,Animated Feature,Won
15,Original Screenplay,Nominated
15,Adapted Screenplay,Ineligible
16,Adapted Screenplay,Ineligible
17,Original Screenplay,Ineligible
18,Original Screenplay,Ineligible
19,Animated Feature,Won
19,Adapted Screenplay,Ineligible
19,Original Song,Won
20,Animated Feature,Nominated
20,Original Screenplay,Ineligible
21,Animated Feature,Won
21,Original Screenplay,Ineligible
21,Original Song,Nominated
22,Animated Feature,Nominated
22,Adapted Screenplay,Ineligible
23,Animated Feature,Won
23,Adapted Screenplay,Ineligible
23,Original Score,Won
23,Sound Editing,Nominated
23,Sound Mixing,Nominated
24,Animated Feature,Nominated
24,Adapted Screenplay,Ineligible
25,Animated Feature,Nominated
25,Adapted Screenplay,Ineligible
26,Original Screenplay,Ineligible
27,Animated Feature,Nominated
27,Adapted Screenplay,Ineligible
28,Original Screenplay,Ineligible
28,Animated Feature,Nominated
