number,budget,box_office_us_canada,box_office_other,box_office_worldwide
1,30000000.0,223225679,171210907,394436586
2,120000000.0,162798565,200460294,363258859
3,90000000.0,245852179,265506097,511358276
4,115000000.0,255873250,272900000,528773250
5,94000000.0,339714978,531300000,871014978
6,92000000.0,261441092,370001000,631442092
7,120000000.0,244082982,217900167,461983149
8,150000000.0,206445654,417280431,623726085
9,180000000.0,223808164,297503696,521311860
10,175000000.0,293004164,442094918,735099082
11,200000000.0,415004880,651964823,1066969703
12,200000000.0,191452396,368400000,559852396
13,185000000.0,237283207,301700000,538983207
14,200000000.0,268492764,475066843,743559607
15,175000000.0,356461711,501149463,857611174
16,175000000.0,123087120,209120551,332207671
17,200000000.0,486295561,542275328,1028570889
18,175000000.0,152901115,231029541,383930656
19,175000000.0,210460015,604181157,814641172
20,200000000.0,608581744,634223615,1242805359
21,200000000.0,434038008,639356585,1073394593
22,175000000.0,61555145,80384897,141940042
23,150000000.0,946154,120957731,121903885
24,,1324302,49788012,51112314
25,175000000.0,1399001,20414357,21813358
26,200000000.0,118307188,108118232,226425420
27,200000000.0,154426697,342017611,496444308
28,200000000.0,652980194,1045050771,1698030965
