number,role_type,name,poster
19,Co-director,Adrian Molina,https://image.tmdb.org/t/p/w500/aFSYItLNBrY3zrPr69YqYwezj7D.jpg
19,Screenwriter,Adrian Molina,https://image.tmdb.org/t/p/w500/aFSYItLNBrY3zrPr69YqYwezj7D.jpg
19,Storywriter,Adrian Molina,https://image.tmdb.org/t/p/w500/aFSYItLNBrY3zrPr69YqYwezj7D.jpg
1,Screenwriter,Alec Sokolow,https://static.wikia.nocookie.net/shazam/images/5/5f/Alec_Sokolow.jpg/revision/latest?cb=20120202130050
28,Musician,Andrea Datzman,https://image.tmdb.org/t/p/w500/nUVly6mPNhHGJ2YEL0kHdI2n0Si.jpg
1,Screenwriter,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
1,Storywriter,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
2,Co-director,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
2,Screenwriter,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
2,Storywriter,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
3,Screenwriter,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
3,Storywriter,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
4,Screenwriter,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
5,Director,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
5,Screenwriter,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
5,Storywriter,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
9,Director,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
9,Screenwriter,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
9,Storywriter,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
11,Storywriter,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
17,Director,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
17,Screenwriter,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
17,Storywriter,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
21,Screenwriter,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
21,Storywriter,Andrew Stanton,https://image.tmdb.org/t/p/w500/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
17,Co-director,Angus MacLane,https://image.tmdb.org/t/p/w500/hSdzAk70cHvxvOFvZn8qiNnZPoZ.jpg
26,Director,Angus MacLane,https://image.tmdb.org/t/p/w500/hSdzAk70cHvxvOFvZn8qiNnZPoZ.jpg
26,Screenwriter,Angus MacLane,https://image.tmdb.org/t/p/w500/hSdzAk70cHvxvOFvZn8qiNnZPoZ.jpg
26,Storywriter,Angus MacLane,https://image.tmdb.org/t/p/w500/hSdzAk70cHvxvOFvZn8qiNnZPoZ.jpg
3,Co-director,Ash Brannon,https://image.tmdb.org/t/p/w500/meH6AhBnCyX4w0lBFvRQWDJmvjv.jpg
3,Storywriter,Ash Brannon,https://image.tmdb.org/t/p/w500/meH6AhBnCyX4w0lBFvRQWDJmvjv.jpg
23,Musician,Atticus Ross,https://image.tmdb.org/t/p/w500/q9FkywKCRqe3pNnhTApHYfnwMiC.jpg
12,Screenwriter,Ben Queen,https://assets.mycast.io/actor_images/actor-ben-queen-45941_large.jpeg
18,Storywriter,Ben Queen,https://assets.mycast.io/actor_images/actor-ben-queen-45941_large.jpeg
5,Screenwriter,Bob Peterson,https://image.tmdb.org/t/p/w500/dJe3nTCIToebjj1WHFHP7LmZKyk.jpg
10,Co-director,Bob Peterson,https://image.tmdb.org/t/p/w500/dJe3nTCIToebjj1WHFHP7LmZKyk.jpg
10,Screenwriter,Bob Peterson,https://image.tmdb.org/t/p/w500/dJe3nTCIToebjj1WHFHP7LmZKyk.jpg
10,Storywriter,Bob Peterson,https://image.tmdb.org/t/p/w500/dJe3nTCIToebjj1WHFHP7LmZKyk.jpg
16,Storywriter,Bob Peterson,https://image.tmdb.org/t/p/w500/dJe3nTCIToebjj1WHFHP7LmZKyk.jpg
18,Screenwriter,Bob Peterson,https://image.tmdb.org/t/p/w500/dJe3nTCIToebjj1WHFHP7LmZKyk.jpg
2,Screenwriter,https://hachette.imgix.net/authors/31230.jpg?auto=compress&w=440,https://hachette.imgix.net/authors/31230.jpg?auto=compress&w=440
1,Producer,Bonnie Arnold,https://image.tmdb.org/t/p/w500/fFU68wkvil1w8gOjwCzzHysKJP0.jpg
6,Director,Brad Bird,https://image.tmdb.org/t/p/w500/z73rItPBDoRUowY5kuWDMlue3DB.jpg
6,Screenwriter,Brad Bird,https://image.tmdb.org/t/p/w500/z73rItPBDoRUowY5kuWDMlue3DB.jpg
6,Storywriter,Brad Bird,https://image.tmdb.org/t/p/w500/z73rItPBDoRUowY5kuWDMlue3DB.jpg
8,Director,Brad Bird,https://image.tmdb.org/t/p/w500/z73rItPBDoRUowY5kuWDMlue3DB.jpg
8,Screenwriter,Brad Bird,https://image.tmdb.org/t/p/w500/z73rItPBDoRUowY5kuWDMlue3DB.jpg
8,Storywriter,Brad Bird,https://image.tmdb.org/t/p/w500/z73rItPBDoRUowY5kuWDMlue3DB.jpg
20,Director,Brad Bird,https://image.tmdb.org/t/p/w500/z73rItPBDoRUowY5kuWDMlue3DB.jpg
20,Screenwriter,Brad Bird,https://image.tmdb.org/t/p/w500/z73rItPBDoRUowY5kuWDMlue3DB.jpg
20,Storywriter,Brad Bird,https://image.tmdb.org/t/p/w500/z73rItPBDoRUowY5kuWDMlue3DB.jpg
8,Producer,Brad Lewis,https://www.hollywoodreporter.com/wp-content/uploads/2011/06/bradlewis_a_p.jpg
12,Co-director,Brad Lewis,https://www.hollywoodreporter.com/wp-content/uploads/2011/06/bradlewis_a_p.jpg
12,Storywriter,Brad Lewis,https://www.hollywoodreporter.com/wp-content/uploads/2011/06/bradlewis_a_p.jpg
27,Screenwriter,Brenda Hsueh,https://media.assettype.com/cinemaexpress%2F2024-03%2F0494aa7f-2973-41f0-a09e-5719070c9a74%2FBrenda_Hsueh.jpg
27,Storywriter,Brenda Hsueh,https://media.assettype.com/cinemaexpress%2F2024-03%2F0494aa7f-2973-41f0-a09e-5719070c9a74%2FBrenda_Hsueh.jpg
18,Director,Brian Fee,https://image.tmdb.org/t/p/w500/99PPaCEodxKzEz0oPbPioWXiCPN.jpg
18,Storywriter,Brian Fee,https://image.tmdb.org/t/p/w500/99PPaCEodxKzEz0oPbPioWXiCPN.jpg
3,Screenwriter,Chris Webb,https://image.tmdb.org/t/p/w500/lEDEd4EGe3hNNOnW5KlR7TPfwqK.jpg
7,Screenwriter,Dan Fogelman,https://image.tmdb.org/t/p/w500/grLBoLU2blYEoT8vjGFOiM8mw1D.jpg
12,Storywriter,Dan Fogelman,https://image.tmdb.org/t/p/w500/grLBoLU2blYEoT8vjGFOiM8mw1D.jpg
4,Screenwriter,Dan Gerson,https://static.wikia.nocookie.net/monstersincmovies/images/e/e5/Daniel_Gerson.jpg/revision/latest/scale-to-width-down/1000?cb=20230126180250
14,Screenwriter,Dan Gerson,https://static.wikia.nocookie.net/monstersincmovies/images/e/e5/Daniel_Gerson.jpg/revision/latest/scale-to-width-down/1000?cb=20230126180250
14,Storywriter,Dan Gerson,https://static.wikia.nocookie.net/monstersincmovies/images/e/e5/Daniel_Gerson.jpg/revision/latest/scale-to-width-down/1000?cb=20230126180250
14,Director,Dan Scanlon,https://image.tmdb.org/t/p/w500/sNHqtJKMd59fvEiwBRPD3zKKYQ4.jpg
14,Screenwriter,Dan Scanlon,https://image.tmdb.org/t/p/w500/sNHqtJKMd59fvEiwBRPD3zKKYQ4.jpg
14,Storywriter,Dan Scanlon,https://image.tmdb.org/t/p/w500/sNHqtJKMd59fvEiwBRPD3zKKYQ4.jpg
22,Director,Dan Scanlon,https://image.tmdb.org/t/p/w500/sNHqtJKMd59fvEiwBRPD3zKKYQ4.jpg
