film,role_type,name,image
Toy Story,Director,John Lasseter,https://image.tmdb.org/t/p/w500/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg
Toy Story,Musician,Randy Newman,https://image.tmdb.org/t/p/w500/4tdkQXQEHY4B9V3RobHqpfQAKSg.jpg
Toy Story,Producer,Bonnie Arnold,https://image.tmdb.org/t/p/w500/fFU68wkvil1w8gOjwCzzHysKJP0.jpg
Toy Story,Producer,Ralph Guggenheim,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Toy Story,Screenwriter,Joel Cohen,https://image.tmdb.org/t/p/w500/26khzGvkwfTdR3f6rNAtQ39Z8OF.jpg
Toy Story,Screenwriter,Alec Sokolow,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Toy Story,Screenwriter,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Toy Story,Screenwriter,Joss Whedon,https://image.tmdb.org/t/p/w500/mVvpZnKYKSCtkOQixQnOonV5kv3.jpg
Toy Story,Storywriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
Toy Story,Storywriter,John Lasseter,https://image.tmdb.org/t/p/w500/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg
Toy Story,Storywriter,Joe Ranft,https://image.tmdb.org/t/p/w500/f1BoWC2JbCcfP1e5hKfGsxkHzVU.jpg
Toy Story,Storywriter,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
A Bug's Life,Co-director,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
A Bug's Life,Director,John Lasseter,https://image.tmdb.org/t/p/w500/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg
A Bug's Life,Musician,Randy Newman,https://image.tmdb.org/t/p/w500/4tdkQXQEHY4B9V3RobHqpfQAKSg.jpg
A Bug's Life,Producer,Darla K. Anderson,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
A Bug's Life,Producer,Kevin Reher,https://image.tmdb.org/t/p/w500/ulnGGeHrys0tkTq9vFBSmHpdCQX.jpg
A Bug's Life,Screenwriter,Donald McEnery,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
A Bug's Life,Screenwriter,Bob Shaw,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
A Bug's Life,Screenwriter,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
A Bug's Life,Storywriter,John Lasseter,https://image.tmdb.org/t/p/w500/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg
A Bug's Life,Storywriter,Joe Ranft,https://image.tmdb.org/t/p/w500/f1BoWC2JbCcfP1e5hKfGsxkHzVU.jpg
A Bug's Life,Storywriter,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Toy Story 2,Co-director,Ash Brannon,https://image.tmdb.org/t/p/w500/meH6AhBnCyX4w0lBFvRQWDJmvjv.jpg
Toy Story 2,Co-director,Lee Unkrich,https://image.tmdb.org/t/p/w500/crb297utC6W4HSstOe5djDPTwEN.jpg
Toy Story 2,Director,John Lasseter,https://image.tmdb.org/t/p/w500/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg
Toy Story 2,Musician,Randy Newman,https://image.tmdb.org/t/p/w500/4tdkQXQEHY4B9V3RobHqpfQAKSg.jpg
Toy Story 2,Producer,Karen Robert Jackson,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Toy Story 2,Producer,Helene Plotkin,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Toy Story 2,Screenwriter,Doug Chamberlin,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Toy Story 2,Screenwriter,Rita Hsiao,https://image.tmdb.org/t/p/w500/8xRKI6ZkRtu4NK6Ko8OK9PRPSxr.jpg
Toy Story 2,Screenwriter,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Toy Story 2,Screenwriter,Chris Webb,https://image.tmdb.org/t/p/w500/lEDEd4EGe3hNNOnW5KlR7TPfwqK.jpg
Toy Story 2,Storywriter,Ash Brannon,https://image.tmdb.org/t/p/w500/meH6AhBnCyX4w0lBFvRQWDJmvjv.jpg
Toy Story 2,Storywriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
Toy Story 2,Storywriter,John Lasseter,https://image.tmdb.org/t/p/w500/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg
Toy Story 2,Storywriter,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
"Monsters, Inc.",Co-director,David Silverman,https://image.tmdb.org/t/p/w500/1FVM73APtETdk6zHaabpXJRrhdq.jpg
"Monsters, Inc.",Co-director,Lee Unkrich,https://image.tmdb.org/t/p/w500/crb297utC6W4HSstOe5djDPTwEN.jpg
"Monsters, Inc.",Director,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
"Monsters, Inc.",Musician,Randy Newman,https://image.tmdb.org/t/p/w500/4tdkQXQEHY4B9V3RobHqpfQAKSg.jpg
"Monsters, Inc.",Producer,Darla K. Anderson,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
"Monsters, Inc.",Screenwriter,Dan Gerson,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
"Monsters, Inc.",Screenwriter,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
"Monsters, Inc.",Storywriter,Jill Culton,https://image.tmdb.org/t/p/w500/mtEH7qmhT4jJMWBukJ7G7ql5M7b.jpg
"Monsters, Inc.",Storywriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
"Monsters, Inc.",Storywriter,Ralph Eggleston,https://image.tmdb.org/t/p/w500/28ZxW5tHMuWYK8T3I0xLfVAF9yw.jpg
"Monsters, Inc.",Storywriter,Jeff Pidgeon,https://image.tmdb.org/t/p/w500/t8LV9Y6s1qwQQNSRfo6GWEExffd.jpg
Finding Nemo,Co-director,Lee Unkrich,https://image.tmdb.org/t/p/w500/crb297utC6W4HSstOe5djDPTwEN.jpg
Finding Nemo,Director,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Finding Nemo,Musician,Thomas Newman,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Finding Nemo,Producer,Graham Walters,https://image.tmdb.org/t/p/w500/rmFFUsCJBjtl2xgsED6hODix9cy.jpg
Finding Nemo,Screenwriter,Bob Peterson,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Finding Nemo,Screenwriter,David Reynolds,https://image.tmdb.org/t/p/w500/tdu9WOvU5YkajGgs9DuyYMeXbdP.jpg
Finding Nemo,Screenwriter,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Finding Nemo,Storywriter,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
